elementId,visitStatus,inputStatus,meaningReview,expectedResultCheck,evidenceStatus,controlCount,harnessError
"A-016","READY_OBSERVED","CONTROL_INPUT_OBSERVED","PENDING","PENDING","CAPTURED","1",""
"B-005","READY_OBSERVED","NO_SUPPORTED_SELECT","PENDING","PENDING","CAPTURED","0",""
"D-011","READY_OBSERVED","CONTROL_INPUT_OBSERVED","PENDING","PENDING","CAPTURED","1",""
"A-017","READY_OBSERVED","CONTROL_INPUT_OBSERVED","PENDING","PENDING","CAPTURED","3",""
"B-034","READY_OBSERVED","CONTROL_INPUT_OBSERVED","PENDING","PENDING","CAPTURED","2",""
"D-012","READY_OBSERVED","CONTROL_INPUT_OBSERVED","PENDING","PENDING","CAPTURED","2",""
"D-014","READY_OBSERVED","CONTROL_INPUT_OBSERVED","PENDING","PENDING","CAPTURED","2",""
"D-015","READY_OBSERVED","CONTROL_INPUT_OBSERVED","PENDING","PENDING","CAPTURED","2",""
"D-016","READY_OBSERVED","CONTROL_INPUT_OBSERVED","PENDING","PENDING","CAPTURED","2",""
"D-017","READY_OBSERVED","CONTROL_INPUT_OBSERVED","PENDING","PENDING","CAPTURED","2",""
"D-019","READY_OBSERVED","CONTROL_INPUT_OBSERVED","PENDING","PENDING","CAPTURED","3",""
"D-022","READY_OBSERVED","CONTROL_INPUT_OBSERVED","PENDING","PENDING","CAPTURED","2",""
"D-023","READY_OBSERVED","CONTROL_INPUT_OBSERVED","PENDING","PENDING","CAPTURED","2",""
"D-024","READY_OBSERVED","CONTROL_INPUT_OBSERVED","PENDING","PENDING","CAPTURED","2",""
"D-025","READY_OBSERVED","CONTROL_INPUT_OBSERVED","PENDING","PENDING","CAPTURED","2",""
"D-026","READY_OBSERVED","CONTROL_INPUT_OBSERVED","PENDING","PENDING","CAPTURED","2",""
